,hard_skills,id_annonce
289,SQL,41579516
290,Access,32513789
291,Oracle,44062157
291,Tableau,44062157
291,Hadoop,44062157
292,Looker,44084603
292,Tableau,44084603
292,SQL,44084603
293,ETL,41578744
293,Datalake,41578744
293,Power Bi,41578744
293,SQL,41578744
294,SQL,42704210
295,Tableau,44281938
295,SQL,44281938
295,NoSQL,44281938
295,Power Bi,44281938
295,ETL,44281938
296,PySpark,43089092
296,Excel,43089092
296,Spark,43089092
296,SQL,43089092
297,Tableau,43963451
297,Power Bi,43963451
298,Oracle,43739895
298,Tableau,43739895
298,Hadoop,43739895
299,Oracle,43709155
299,Power Bi,43709155
300,Access,43931940
300,Tableau,43931940
301,crunching Data,43727330
301,SQL,43727330
302,crunching Data,43727327
302,SQL,43727327
303,crunching Data,43727316
303,SQL,43727316
304,Power Bi,43920793
305,Tableau,43861593
305,Power Bi,43861593
306,Looker,43803835
306,Google Analytics,43803835
306,Tableau,43803835
306,Power Bi,43803835
308,Oracle,43553121
308,SQL,43553121
308,PySpark,43553121
308,Azure,43553121
308,Spark,43553121
308,machine learning,43553121
308,Power Bi,43553121
308,ETL,43553121
308,Mac,43553121
308,Datalake,43553121
309,Power Bi,43773743
310,Access,44183795
310,Datalake,44183795
310,Excel,44183795
310,SQL,44183795
311,PySpark,44016477
311,Datalake,44016477
311,Spark,44016477
311,SQL,44016477
312,Excel,43511671
312,SQL,43511671
312,PySpark,43511671
312,Spark,43511671
312,Power Bi,43511671
313,Excel,43968104
314,Excel,44016503
314,SQL,44016503
314,Spark,44016503
314,machine learning,44016503
314,Dataiku,44016503
314,Mac,44016503
315,Excel,44024486
318,Mac,43905618
318,Excel,43905618
318,Tableau,43905618
319,Excel,36180876
319,SQL,36180876
322,SAP,43777602
322,Excel,43777602
322,Tableau,43777602
322,Power Bi,43777602
323,Access,43989759
323,Azure,43989759
323,Tableau,43989759
323,ETL,43989759
324,SQL,43069775
324,SQL Server,43069775
324,Dataiku,43069775
324,Power Bi,43069775
324,Mac,43069775
325,Access,44322359
325,Excel,44322359
326,ML,43675208
326,Airflow,43675208
326,Excel,43675208
326,Tableau,43675208
326,data mining,43675208
326,SQL,43675208
